Nombre Metodo|Tablas o APIs Consultadas|Proceso/Descripcion|Equivalente en SP|Que le falta o difiere
CargarContextoProceso|APIs SAP: ZAPI_ARTICULOS_SRV, ZCDS_DIM11_EXISTENCIA_CDS, ZAPI_PROPRELIST_SRV, ZAPI_JERARQUIA_ARTICULOS_SRV / API AWS: AS_GET_Familia_Linea / Tablas SQL: SIPExcluirProductos, ExcluirClassN2ClassN3, ClassN2ValidasTdaVirtual, SIPProductos|Obtiene catalogos maestros desde SAP u otros endpoints y tablas SQL para tenerlos en memoria antes del procesamiento.|N/A (En SP todo se lee directo de tablas, aqui se precarga el contexto).|Migrado: Cache de catalogos principales de SAP y DB.
GetListadoArticulos|En Memoria (Contexto previamente cargado)|Aplica reglas iniciales: Estatus, Sip validos, exclusiones por codigo/marca/iniciales, categoria VENTA, tipo articulo, familia, precios.|#Listadoarticulos|Migrado: Filtros de exclusiones, jerarquias y validacion de precios. Difiere: La logica de sucursal 90 y 0 para precios esta aplicada aqui a memoria.
GetArticulosIEMay|Tablas SQL: articulospropiedades, ClassN2Propiedades, CatalogoPropiedad, CatalogoValorePosibles|Cruza el listado de articulos con los articulos configurados como IE, MAYORISTA u OUTLET para priorizarlos.|#articulosIEMay|Migrado: Obtencion de IE/May desde las tablas correctas. 
GetArticulosFiltrados|API AWS: AI_GET_CatalogoConfiguracion (DM0285...) / Tabla SQL: ReglasEcommerce|Aplica 7 reglas complejas de existencia segun almacenes principales, secundarios y de respaldo (Muebles, Calzado, Bloqueados con -Q-, etc.). Ajusta existencia a 200 si es IE/May.|#articulos y #DisponiblePorAlmacen...|Migrado: Toda la logica y condicionales de reglas de existencia, identificacion de IE/May y actualizacion de existencia virtual.
FiltrarArticulosConImagen|Tablas SQL: ecommerceactualizarimagenes, SCMArtImagen|Elimina los articulos que no tengan una imagen optimizada asociada.|Filtro final en #articulos (ecommerceactualizarimagenes)|Migrado: Uso de tablas para filtrar los no validos.
GetCarruselCategorias|Tablas SQL: SDSIPCarrusel, SCSIPCategorias|Obtiene las categorias especiales de carrusel (multiples categorias).|#CarruselCategoria|Migrado.
GetPreciosFinales|En Memoria (Contexto previamente cargado)|Calcula el precio de venta final, precio especial y detecta si es oferta comparando Precio vs RefPrice para Contado MA (ACEF).|#precioart, #precio_precioesp|Migrado: Seleccion de precios suc 90 vs 0 y logica basica de oferta.
GetPropiedadesArticulos|Tablas SQL: articulospropiedades, ClassN2Propiedades, CatalogoPropiedad, eCommerceSetPropiedades, CatalogoValoresPosibles|Mapea propiedades del articulo para Magento. Construye AtributoMagento=Valor y asigna NombreSet. Agrega 'MARCA' si no es Mueble.|#propsgeneral, #artprops, #SETprop|Migrado: Logica de generacion basica de sets y props. Falta: Tratamiento complejo de colores (color_filtro vs color) que si tiene el SP. Falta 'category_control' y 'Product_Control'.
GetCategoriasMagento|Tabla SQL: EcommerceRelCatMagento|Construye las categorias completas para exportacion. Mapea Intelisis->Magento, agrega ruta de SUPERPROMO y Carruseles, recorta 1 nivel si es Oferta, maneja sublinea virtual y default.|#categ, #categFinal, #FamLinCat|Migrado: Concatenacion y formateo de ramas (rutas) completas de categorias. Difiere: Ya no usa tablas temporales con loops, usa HashSets.
GetRelacionesMarketing|APIs SAP: ZAPI_CROSSSELL_SRV, ZAPI_UPSELL_SRV, ZAPI_SUSTITUTOS_SRV|Calcula Upsells basados en precios mayores (8 arts) y menores (2 arts) misma Familia+Linea. Precarga cache masivo. Obtiene Cross-sells de endpoint de SAP.|#ArticulosUpsell, #ArticulosCrossP/F/H, eComerceMarketing|Migrado: Upsells locales. Difiere: Cross-sell usa endpoint de SAP `GetCrossSell`, `GetUpsell`, `GetSustitutos`, mientras que SP iteraba e insertaba localmente en DB relacional.
GetPosicionamiento|En Memoria (Contexto previamente cargado)|Ordena la prioridad de los articulos para aparicion: agotados primero, luego precios (asc), sin depender de listas legacy. Devuelve la posicion (ranking).|#posicionamiento, #TempTop10, #ListaDePrioridad|Migrado: Logica base refactorizada. Difiere: Omitio la separacion Temporada Especial vs Normal y los listados quemados, priorizando precio/stock para limpieza.
EjecutarProcesoCompleto|Orquestador principal|Orquesta todas las fases del 1 al 15. Contiene las llamadas a metodos y orquesta los datos del contexto.|Estructura principal del SP (desde linea 1 hasta INSERT a eComerceExportaArt)|Migrado: Estructura del flujo principal. Falta: Parte de CONFIGURABLES (#configurables, #ArticuloPadre). Todo el codigo C# relacionado con configurables fue comentado o removido del orquestador.
ConstruirResultadoFinal|En Memoria (Construccion de Objeto)|Arma el modelo final (ProductoEcommerceFinal) asignando cada propiedad a los campos identicos del CSV/DB Magento.|INSERT a eComerceExportaArt (Linea 4806)|Migrado: Construccion de articulos simples. Faltan: Logica para articulos "Configurables" (Type=configurable), Variaciones configurables (configurable_variations), atributos adicionales complejos, Region 6, Excluidos/Desactivados (Update a 2), y control de visibilidad avanzado (Not Visible Individually) para hijos configurables.
GetListadoArticulos|Controlador Web API HTTP GET|Expone la API HTTP GET `/ecommerce/listado` que ejecuta la orquestacion e invoca CargarContextoProceso() + EjecutarProcesoCompleto() [NOTA: En el codigo actual solo llama a CargarContextoProceso].|N/A (Capa de servicio/API HTTP)|Actualmente solo retorna el contexto en duro (linea 18 de EcommerceController), no esta ejecutando 'EjecutarProcesoCompleto()' por lo tanto la logica entera no esta expuesta ni procesando todo.
